name,iata,icao,lat,lng,rank2000,total2000,pchange2000,rank2001,total2001,rchange2001,pchange2001,rank2002,total2002,rchange2002,pchange2002,rank2003,total2003,rchange2003,pchange2003,rank2004,total2004,rchange2004,pchange2004,rank2005,total2005,rchange2005,pchange2005,rank2006,total2006,rchange2006,pchange2006,rank2007,total2007,rchange2007,pchange2007,rank2008,total2008,rchange2008,pchange2008,rank2009,total2009,rchange2009,pchange2009,rank2010,total2010,rchange2010,pchange2010,rank2011,total2011,rchange2011,pchange2011,rank2012,total2012,rchange2012,pchange2012,rank2013,total2013,rchange2013,pchange2013,rank2014,total2014,rchange2014,pchange2014,rank2015,total2015,rchange2015,pchange2015
Leonardo da Vinci–Fiumicino Airport,FCO,LIRF,41.80027780000,12.23888890000,0,,,29,25565727,Increase?,Decrease2.7%,0,,,,27,26284478,Increase?,Increase3.7%,0,,,,0,,,,0,,,,0,,,,25,35132224,Increase?,Increase6.9%,26,33723213,Decrease1,Decrease4.0%,26,36227778,Steady,Increase7.4%,29,37651222,Decrease3,Increase3.9%,32,36980161,Decrease3,Decrease1.8%,34,36165762,Decrease5,Decrease2.2%,35,38506467,Decrease1,Increase6.5%,36,40422156,Decrease1,Increase5.0%
Sydney Kingsford Smith International Airport,SYD,YSSY,-33.94609833000,151.17700200000,0,,,0,,,,0,,,,28,25333508,Increase?,Increase4.0%,0,,,,0,,,,0,,,,0,,,,33,33302642,?,Increase3.0%,28,33451383,Increase5,Increase0.4%,27,35991917,Increase1,Increase7.6%,31,36022614,Decrease4,Increase0.1%,31,37342798,Steady,Increase3.7%,31,38254039,Steady,Increase2.4%,33,38863380,Decrease2,Increase1.6%,38,39914103,Decrease5,Increase2.7%
Barcelona International Airport,BCN,LEBL,41.29710007000,2.07845997800,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,38,30195794,?,Decrease8.1%,42,27301662,Decrease4,Decrease9.8%,43,29197135,Decrease1,,35,34387597,Increase8,Increase15.1%,34,35131771,Increase1,Increase2.2%,39,35210735,Decrease5,Increase0.2%,39,37540326,Steady,Increase6.7%,40,39674095,Decrease1,Increase5.7%
Atatürk International Airport,IST,LTBA,40.97689819000,28.81459999000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,42,26364017,?,Increase3.1%,39,29854119,Increase3,Increase4.3%,37,32165817,Increase2,,30,37406025,Increase7,Increase16.3%,20,44992420,Increase10,Increase20.1%,18,51172626,Increase2,Increase13.6%,13,56767108,Increase5,Increase10.7%,11,61836781,Increase2,Increase9.2%
Chhatrapati Shivaji International Airport,BOM,VABB,19.08869934000,72.86789703000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,47,24335306,?,Decrease3.6%,48,24804766,Decrease1,Increase1.9%,45,28137797,Increase3,,44,30439122,Increase1,Increase7.6%,48,30038696,Decrease4,Decrease1.3%,48,31940026,Steady,Increase6.3%,47,34993738,Increase1,Increase9.6%,35,40637377,Increase12,Increase16.1%
Indira Gandhi International Airport,DEL,VIDP,28.56649971000,77.10310364000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,50,23181090,?,Decrease0.7%,44,25252814,Increase6,Increase8.6%,44,28531607,Steady,,34,34729467,Increase10,Increase17.8%,37,34211608,Decrease3,Decrease1.5%,32,36712455,Increase5,Increase7.3%,31,39752819,Increase1,Increase8.4%,25,45981773,Increase6,Increase15.7%
Soekarno-Hatta International Airport,CGK,WIII,-6.12556982000,106.65599820000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,36,32172114,?,Increase0.6%,22,37143719,Increase14,Increase15.2%,16,44355998,Increase6,Increase19.4%,12,51533187,Increase4,Increase16.2%,9,57730732,Increase3,Increase14.4%,10,59701543,Decrease1,Increase3.4%,12,57221169,Decrease2,Decrease3.6%,18,54053905,Decrease6,Decrease5.5%
Kuala Lumpur International Airport,KUL,WMKK,2.74557995800,101.70999910000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,41,27529355,?,Increase2.4%,40,29682093,Increase1,Increase7.8%,31,34087636,Increase9,,28,37704510,Increase3,Increase10.6%,27,39887866,Increase1,Increase6.6%,20,47498157,Increase7,Increase19.1%,20,48930409,Steady,Increase3.0%,23,48938424,Decrease3,Steady0.0%
Guangzhou Baiyun International Airport,CAN,ZGGG,23.39240074000,113.29900360000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,32,33444814,?,Increase8.0%,23,37048712,Increase9,Increase10.8%,19,40975673,Increase4,Increase10.6%,19,45040340,Steady,Increase9.9%,18,48548430,Increase1,Increase7.8%,16,52450262,Increase2,Increase8.6%,15,54780346,Increase1,Increase4.4%,17,55201915,Decrease2,Increase0.8%
Shanghai Pudong International Airport,PVG,ZSPD,31.14340019000,121.80500030000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,40,28230017,?,Decrease2.4%,34,32102549,Increase6,Increase13.7%,20,40578621,Increase14,Increase26.4%,20,41447730,Steady,Increase2.1%,21,44880164,Decrease1,Increase8.3%,21,47189849,Steady,Increase5.2%,19,51687894,Increase2,Increase9.5%,13,60053387,Increase6,Increase16.3%
Incheon International Airport,ICN,RKSI,37.46910095000,126.45099640000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,39,30166816,?,Decrease4.0%,41,28677161,Decrease2,Decrease4.9%,33,33605579,Increase8,,33,35191825,Steady,Increase4.5%,29,39154375,Increase4,Increase11.3%,25,41679758,Increase4,Increase6.5%,23,45662322,Increase2,Increase9.6%,22,49412750,Increase1,Increase8.2%
Shenzhen Bao'an International Airport,SZX,ZGSZ,22.63929939000,113.81099700000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,49,24486406,Increase?,Increase14.4%,50,26713610,Decrease1,,49,28245745,Increase1,Increase5.4%,49,29569725,Steady,Increase4.7%,47,32268457,Increase2,Increase9.1%,41,36272701,Increase6,Increase12.4%,39,39721619,Increase2,Increase9.5%
